Dataset; mean; median; std; var; min; max
BC; 1.6489033413329343e-16; -0.30157522670145076; 1.0; 1.0; -1.0687592334545628; 10.209112977316796
N_CPC; -1.1441370123534646e-16; -0.25555309476424337; 1.0; 1.0; -1.4904120948975987; 7.2649336858139115
PM_10; 1.27874136674799e-16; -0.1578035595743077; 1.0; 1.0; -1.0195134103731234; 26.910254616206064
PM_2_5; -1.8844609615233535e-16; -0.2248855571886797; 1.0; 1.0; -1.4454927892347453; 11.089501404734357
PM_1_0; -2.692087087890505e-17; -0.2633365387641906; 1.0; 1.0; -1.2641776024007363; 4.950016091403856
NO2; -6.7302177197262625e-18; -0.3228841814839622; 1.0; 1.0; -1.2870736841568247; 4.681718475246609
O3; 1.0095326579589394e-16; 0.03297667594060831; 1.0; 1.0; -1.8057826017117458; 3.5955727763920438
SO2; -2.0863674931151414e-16; -0.4609638037596836; 1.0; 1.0; -1.0864932514329975; 14.551742940399846
CO; -3.0959001510740806e-16; -0.5332144420980793; 1.0; 1.0; -1.005401279243732; 7.493961789378012
NO; -1.0095326579589395e-17; -0.2589295996926434; 1.0; 1.0; -0.3938790747095985; 13.343977482016435
NOX; -4.038130631835758e-17; -0.2997315157080181; 1.0; 1.0; -0.894434316849698; 10.559101112545617
TEMP; -1.6152522527343031e-16; -0.1144084039714958; 1.0; 1.0; -2.2460553825337732; 2.8012926356711594
HUM; -6.730217719726263e-17; 0.08142341418860737; 1.0; 1.0; -3.394545382927411; 1.9227634693895161
